id,school_id,event_id,constituent_id,attended_at,record_source
1,1,1,2637,2025-09-26T18:00:00Z,event_import
2,1,1,1321,2025-09-26T18:00:00Z,advancement_entry
3,1,1,11687,2025-09-26T18:00:00Z,advancement_entry
4,1,1,11718,2025-09-26T18:00:00Z,event_import
5,1,1,19319,2025-09-26T18:00:00Z,event_import
6,1,1,4219,2025-09-26T18:00:00Z,event_import
7,1,1,18993,2025-09-26T18:00:00Z,event_import
8,1,1,2277,2025-09-26T18:00:00Z,advancement_entry
9,1,1,7947,2025-09-26T18:00:00Z,event_import
10,1,1,18999,2025-09-26T18:00:00Z,event_import
11,1,1,12148,2025-09-26T18:00:00Z,event_import
12,1,1,15310,2025-09-26T18:00:00Z,event_import
13,1,1,4958,2025-09-26T18:00:00Z,event_import
14,1,1,7197,2025-09-26T18:00:00Z,advancement_entry
15,1,1,16506,2025-09-26T18:00:00Z,event_import
16,1,1,17577,2025-09-26T18:00:00Z,advancement_entry
17,1,1,9200,2025-09-26T18:00:00Z,event_import
18,1,1,14705,2025-09-26T18:00:00Z,event_import
19,1,1,867,2025-09-26T18:00:00Z,advancement_entry
20,1,1,8447,2025-09-26T18:00:00Z,event_import
21,1,1,3481,2025-09-26T18:00:00Z,event_import
22,1,1,14908,2025-09-26T18:00:00Z,event_import
23,1,1,5273,2025-09-26T18:00:00Z,event_import
24,1,1,14407,2025-09-26T18:00:00Z,event_import
25,1,1,3922,2025-09-26T18:00:00Z,event_import
26,1,1,17053,2025-09-26T18:00:00Z,advancement_entry
27,1,1,16583,2025-09-26T18:00:00Z,event_import
28,1,1,19604,2025-09-26T18:00:00Z,event_import
29,1,1,3377,2025-09-26T18:00:00Z,event_import
30,1,1,15085,2025-09-26T18:00:00Z,advancement_entry
31,1,1,17476,2025-09-26T18:00:00Z,event_import
32,1,1,19958,2025-09-26T18:00:00Z,event_import
33,1,1,4644,2025-09-26T18:00:00Z,event_import
34,1,1,4347,2025-09-26T18:00:00Z,event_import
35,1,1,13014,2025-09-26T18:00:00Z,event_import
36,1,1,6512,2025-09-26T18:00:00Z,event_import
37,1,1,332,2025-09-26T18:00:00Z,advancement_entry
38,1,1,6426,2025-09-26T18:00:00Z,event_import
39,1,1,6038,2025-09-26T18:00:00Z,advancement_entry
40,1,1,7000,2025-09-26T18:00:00Z,event_import
41,1,1,7314,2025-09-26T18:00:00Z,advancement_entry
42,1,1,16294,2025-09-26T18:00:00Z,event_import
43,1,1,6427,2025-09-26T18:00:00Z,event_import
44,1,1,7672,2025-09-26T18:00:00Z,advancement_entry
45,1,1,15741,2025-09-26T18:00:00Z,event_import
46,1,1,12892,2025-09-26T18:00:00Z,event_import
47,1,1,9738,2025-09-26T18:00:00Z,event_import
48,1,1,4051,2025-09-26T18:00:00Z,event_import
49,1,1,1363,2025-09-26T18:00:00Z,advancement_entry
50,1,1,4886,2025-09-26T18:00:00Z,advancement_entry
51,1,1,16893,2025-09-26T18:00:00Z,event_import
52,1,1,19875,2025-09-26T18:00:00Z,event_import
53,1,1,16022,2025-09-26T18:00:00Z,event_import
54,1,1,2712,2025-09-26T18:00:00Z,advancement_entry
55,1,1,500,2025-09-26T18:00:00Z,event_import
56,1,1,18560,2025-09-26T18:00:00Z,event_import
57,1,1,15015,2025-09-26T18:00:00Z,event_import
58,1,1,11747,2025-09-26T18:00:00Z,event_import
59,1,1,7901,2025-09-26T18:00:00Z,event_import
60,1,1,8547,2025-09-26T18:00:00Z,event_import
61,1,1,13022,2025-09-26T18:00:00Z,event_import
62,1,1,16508,2025-09-26T18:00:00Z,advancement_entry
63,1,1,9772,2025-09-26T18:00:00Z,event_import
64,1,1,13863,2025-09-26T18:00:00Z,event_import
65,1,1,9302,2025-09-26T18:00:00Z,event_import
66,1,1,19928,2025-09-26T18:00:00Z,event_import
67,1,1,13071,2025-09-26T18:00:00Z,event_import
68,1,1,16013,2025-09-26T18:00:00Z,event_import
69,1,1,545,2025-09-26T18:00:00Z,event_import
70,1,1,18854,2025-09-26T18:00:00Z,advancement_entry
71,1,1,3537,2025-09-26T18:00:00Z,event_import
72,1,1,19738,2025-09-26T18:00:00Z,event_import
73,1,1,14140,2025-09-26T18:00:00Z,advancement_entry
74,1,1,9690,2025-09-26T18:00:00Z,advancement_entry
75,1,1,7915,2025-09-26T18:00:00Z,event_import
76,1,1,16875,2025-09-26T18:00:00Z,event_import
77,1,1,10165,2025-09-26T18:00:00Z,event_import
78,1,1,15718,2025-09-26T18:00:00Z,event_import
79,1,1,13839,2025-09-26T18:00:00Z,advancement_entry
80,1,1,4185,2025-09-26T18:00:00Z,advancement_entry
81,1,1,2995,2025-09-26T18:00:00Z,advancement_entry
82,1,1,12978,2025-09-26T18:00:00Z,advancement_entry
83,1,1,10643,2025-09-26T18:00:00Z,event_import
84,1,1,17900,2025-09-26T18:00:00Z,event_import
85,1,1,11373,2025-09-26T18:00:00Z,event_import
86,1,1,19995,2025-09-26T18:00:00Z,advancement_entry
87,1,1,12636,2025-09-26T18:00:00Z,event_import
88,1,1,5472,2025-09-26T18:00:00Z,event_import
89,1,1,15520,2025-09-26T18:00:00Z,event_import
90,1,1,8426,2025-09-26T18:00:00Z,advancement_entry
91,1,1,918,2025-09-26T18:00:00Z,advancement_entry
92,1,1,12204,2025-09-26T18:00:00Z,advancement_entry
93,1,1,12171,2025-09-26T18:00:00Z,event_import
94,1,1,1295,2025-09-26T18:00:00Z,event_import
